name,price,rr
"Infinix Hot 12 (7° Purple, 64 GB)","₹8,499","22,168 Ratings & 1,548 Reviews"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,749","8,015 Ratings & 706 Reviews"
"POCO C55 (Forest Green, 64 GB)","₹8,499","4,740 Ratings & 217 Reviews"
"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹9,499","37,045 Ratings & 4,069 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹12,999","1,59,420 Ratings & 14,164 Reviews"
"Infinix Hot 12 (Polar Black, 64 GB)","₹8,499","22,168 Ratings & 1,548 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹18,999","12,745 Ratings & 967 Reviews"
"POCO C55 (Forest Green, 128 GB)","₹9,999","2,967 Ratings & 134 Reviews"
"REDMI 10 (Shadow Black, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"MOTOROLA e13 (Creamy White, 64 GB)","₹7,749","8,015 Ratings & 706 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,499","31,547 Ratings & 3,607 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,499","32,862 Ratings & 3,079 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹5,299","94,043 Ratings & 4,998 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"APPLE iPhone 13 (Green, 128 GB)","₹61,999","1,98,626 Ratings & 10,809 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,279","5,426 Ratings & 256 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,999","7,889 Ratings & 724 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹18,999","12,745 Ratings & 967 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹19,999","7,590 Ratings & 587 Reviews"
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999","12,745 Ratings & 967 Reviews"
"REDMI 10 (Midnight Black, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999","1,73,686 Ratings & 13,586 Reviews"
"REDMI A1 (Light Green, 32 GB)","₹6,235","5,426 Ratings & 256 Reviews"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹7,499","5,937 Ratings & 219 Reviews"
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹15,999","8,493 Ratings & 659 Reviews"
Nokia 105 SS,"₹1,299","34,384 Ratings & 2,385 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,246","5,426 Ratings & 256 Reviews"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹18,999","2,680 Ratings & 331 Reviews"
"POCO M4 Pro (Cool Blue, 64 GB)","₹11,999","1,59,420 Ratings & 14,164 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹16,999","7,889 Ratings & 724 Reviews"
"vivo T1X (Gravity Black, 64 GB)","₹11,999","85,642 Ratings & 4,778 Reviews"
"vivo T1X (Gravity Black, 128 GB)","₹12,999","85,642 Ratings & 4,778 Reviews"
"vivo T1X (Space Blue, 64 GB)","₹11,999","85,642 Ratings & 4,778 Reviews"
"Infinix Smart 6 HD (Force Black, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"OPPO A17k (Blue, 64 GB)","₹9,499","2,382 Ratings & 58 Reviews"
"POCO M4 Pro 5G (Yellow, 128 GB)","₹15,999","15,592 Ratings & 1,202 Reviews"
"REDMI 10 (Sunrise Orange, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"vivo T1X (Space Blue, 128 GB)","₹14,999","4,710 Ratings & 277 Reviews"
"vivo T1X (Gravity Black, 128 GB)","₹14,999","4,710 Ratings & 277 Reviews"
"vivo T1X (Space Blue, 128 GB)","₹12,999","85,642 Ratings & 4,778 Reviews"
Nokia 105 PLUS,"₹1,379","7,948 Ratings & 546 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,999","22,653 Ratings & 2,135 Reviews"
"REDMI 10 (Midnight Black, 128 GB)","₹11,999","27,670 Ratings & 1,943 Reviews"
"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","2,289 Ratings & 195 Reviews"
"OPPO A17k (Gold, 64 GB)","₹9,499","2,382 Ratings & 58 Reviews"
"OPPO A17k (Navy Blue, 64 GB)","₹9,499","2,382 Ratings & 58 Reviews"
"vivo V27 5G (Magic Blue, 128 GB)","₹32,999","1,831 Ratings & 182 Reviews"
"vivo T1 44W (Ice Dawn, 128 GB)","₹14,499","97,242 Ratings & 6,495 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)","₹5,299","94,043 Ratings & 4,998 Reviews"
